Date,Site Name,Type,Sample Name,Sample Analysis,Rn-222,RAD7 Run #,BB #,Rn (cpm),Rnwat (dpm/L),sigma (dpm/L),Sample Time,Analysis Time,Days,Rnwat (dpm/L),sigma (dpm/L),Type,Type,Field Status,Crop Status,NotesA,NotesB,Radon Notes,NotesC,NotesD,NotesE,NotesF,NotesG,ID,Phosphate (mg/L),Nitrite (mg/L),Nitrate/Nitrite (mg/L),Ammonia (mg/L),Nuts Notes,
12/7/18,SMWLB,ditch C,SMWLB ditch C,"Rn-222, Nuts., Iso.",1,82,Big Mac,39.95,590.1,8.9,12/7/18 10:05,12/7/18 12:59,0.12,603.163,9.074,ditch C,SW from the ditch closest to the wetland,Wet; rained ~36 hr prior,Empty; rows,,,,,,,,,12/7/18 SMWLB DITCH C,1.49,0.0253,0.0307,0.0394,,
12/7/18,SMWLB,GW pit,SMWLB GW pit,"Rn-222, Nuts., Iso.",1,87,Moodona,17.09,387.4,8.9,12/7/18 10:25,12/8/18 16:53,1.27,487.155,11.164,GW pit,GW pit sample (sand soil) ,Wet; rained ~36 hr prior,Empty; rows,Sediment in BB,,,,,,,,12/07/18 SMWLB GW PIT,0.717,0.0284,0.023,0.329,,
12/13/18,SMWLA,tile,SMWLA tile,"Rn-222, Nuts., Iso.",1,7,Milkshake,0.81,9.0,0.9,12/13/18 14:05,12/14/18 11:46,0.90,10.561,1.114,tile,SW from beneath the tile drain in the irrigation ditch side,Empty field; rows; not too damp from rain 12/6,Empty; rows,,,,,,,,,12/13/18 SMWLA TILE,0.87,0.0914,0.401,#VALUE!,Ammonium value of 1:80 higher than that of 1:10 (1:10 was negative!),
12/13/18,SMWLA,ditch,SMWLA ditch ,"Rn-222, Nuts., Iso.",1,5,Moodona,1.43,15.3,1.2,12/13/18 14:14,12/13/18 18:10,0.16,15.720,1.245,ditch,SW from the ditch past the culverts ,Empty field; rows; not too damp from rain 12/6,Empty; rows,,,,,,,,,12/13/18 SMWLA DITCH,0.738,0.0664,0.608,0.0368,"Nitrite slightly below calibration curve for 1:10, but higher for 1:1",
12/13/18,SMWLB,ditch,SMWLB ditch,"Rn-222, Nuts., Iso.",1,9,BB #5,6.73,68.6,2.5,12/13/18 14:40,12/14/18 17:36,1.12,84.034,3.066,ditch,"SW from the ditch, closest to SMWLC; ""ditch A""; nearest the road",Empty field; rows; not too damp from rain 12/6,Empty; rows,,,Sediment in BB,,,,,,12/13/18 SMWLB DITCH,1.65,0.0184,0.0112,0.035,Phosphate slighlty higher than cal. Curve for 1:10,
12/13/18,SMWLB,back,SMWLB back,"Rn-222, Nuts., Iso.",1,12,Big Mac,10.80,104.6,3.0,12/13/18 14:40,12/15/18 12:32,1.91,147.660,4.253,back,"SW from the ditch closest to the wetland; ""ditch C""",Empty field; rows; not too damp from rain 12/6,Empty; rows,,,Rips in the output tube? Could have lost some sample,,,,,,12/13/18 SMWLB BACK,0.798,0.0181,0.00272,0.00662,Nitrate below limit of detection for 1:1,
12/14/18,SMCD,tile up ,SMCD tile up ,"Rn-222, Nuts., Iso.",1,14,Moodona,1.33,16.1,1.3,12/14/18 15:35,12/16/18 11:48,1.84,22.473,1.844,tile up ,SW from the tile drain upstream nearest the artichokes,Post harvest; Damp field but no standing water,Post-Harvest; plants still there…,,,Kept in refrigerator from 12/14 to 12/19,,,"Vent tube loose in the field, secured with a zip tie and then took the sample",Some sediment at bottom,,12/14/18 SMCD TILE UP DUP,0.119,0.0212,0.00213,0.156,Nitrate below calibration curve ,
12/14/18,SMCD,tile down,SMCD tile down,"Rn-222, Nuts., Iso.",1,16,Milkshake,1.19,13.1,1.1,12/14/18 15:52,12/16/18 14:57,1.96,18.646,1.611,tile down,SW from the tile drain across the road from the Castroville ditch,Post harvest; Damp field but no standing water,Post-Harvest; plants still there…,,,Kept in refrigerator from 12/14 to 12/19,,,,Helllllaaa sediment at the bottom ,,12/14/18 SMCD TILE DOWN DUP,0.0406,0.5976,12.7,0.0875,,
12/14/18,SMCD,ditch,SMCD ditch ,"Rn-222, Nuts., Iso.",1,18,Bessy,1.53,36.9,2.8,12/14/18 16:15,12/16/18 18:20,2.09,53.754,4.111,ditch,SW from the Castroville ditch near where the tile drain discharges,Post harvest; Damp field but no standing water,Post-Harvest; plants still there…,,,Kept in refrigerator from 12/14 to 12/19,,,,,,12/14/18 SMCD DITCH,0.134,0.151,2.56,1.25,,
12/19/18,SMWLA,tile,SMWLA tile,"Rn-222, Nuts., Iso.",1,24,Moodona,14.66,191.2,4.7,12/19/18 12:34,12/20/18 12:59,1.02,229.720,5.680,tile,SW from beneath the tile drain in the irrigation ditch side,Field wet/damp; Rained on 12/16; tile drain flowing; wetland pump broken so ditches very full,Empty; rows,,,Samples in the refrigerator until filtered for isotopes,V and F tube may have a small leak??,,,,,12/19/18 SMWLA TILE,0.848,0.034,41.76,0.0172,,
12/19/18,SMWLA,ditch,SMWLA ditch ,"Rn-222, Nuts., Iso.",1,20,BB #5,3.00,35.8,1.9,12/19/18 12:00,12/19/18 15:08,0.13,36.653,1.991,ditch,SW from the ditch past the culverts ,Field wet/damp; Rained on 12/16; tile drain flowing; wetland pump broken so ditches very full,Empty; rows,,,Samples in the refrigerator until filtered for isotopes,,,,,,12/19/18 SMWLA DITCH  ,0.968,0.4264,41.2,0.0175,,
12/19/18,SMWLB,ditch,SMWLB ditch,"Rn-222, Nuts., Iso.",1,22,Milkshake,1.17,29.9,2.6,12/19/18 12:52,12/19/18 18:21,0.23,31.174,2.715,ditch,"SW from the ditch, closest to SMWLC; ""ditch A""; nearest the road",Field wet/damp; Rained on 12/16; tile drain flowing; wetland pump broken so ditches very full,Empty; rows,,,Samples in the refrigerator until filtered for isotopes,,,,,,12/19/18 SMWLB DITCH,0.886,0.34,24.08,0.0179,,
12/19/18,SMWLC,ditch,SMWLC ditch,"Rn-222, Nuts., Iso.",1,26,Bessy,11.50,153.2,4.3,12/19/18 13:04,12/20/18 16:05,1.13,187.741,5.241,ditch,Irrigation ditch SW; by the little island/berm,Field wet/damp; Rained on 12/16; tile drain flowing; wetland pump broken so ditches very full,Empty; rows,,,Samples in the refrigerator until filtered for isotopes,,,,,,12/19/18 SMWLC DITCH  ,1.15,0.584,34.88,0.0244,,
12/19/18,SMWLC,tile,SMWLC tile,"Rn-222, Nuts., Iso.",1,29,Mudpie,3.37,52.6,2.7,12/19/18 13:33,12/20/18 20:25,1.29,66.348,3.421,tile,Tile drain across from the ditch side across from the berm,Field wet/damp; Rained on 12/16; tile drain flowing; wetland pump broken so ditches very full,Empty; rows,,,Samples in the refrigerator until filtered for isotopes,,,,,,12/19/18 SMWLC TILE ,1.528,0.195,101.6,0.0317,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unsure if 1:80 is actually 1:100 (N+N)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Unsure if 1:80 is actually 1:100 (P, N, N+N, NH4)"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Unsure if 1:80 is actually 1:100 (P, N+N)"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Unsure if 1:80 is actually 1:100 (P, N+N)"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
